順位,チーム,勝点,試合,勝,分,敗,得点,失点
1,横浜Ｆ・マリノス,70,34,22,4,8,68,38
2,ＦＣ東京,64,34,19,7,8,46,29
3,鹿島アントラーズ,63,34,18,9,7,54,30
4,川崎フロンターレ,60,34,16,12,6,57,34
5,セレッソ大阪,59,34,18,5,11,39,25
6,サンフレッチェ広島,55,34,15,10,9,45,29
7,ガンバ大阪,47,34,12,11,11,54,48
8,ヴィッセル神戸,47,34,14,5,15,61,59
9,大分トリニータ,47,34,12,11,11,35,35
10,北海道コンサドーレ札幌,46,34,13,7,14,54,49
11,ベガルタ仙台,41,34,12,5,17,38,45
12,清水エスパルス,39,34,11,6,17,45,69
13,名古屋グランパス,37,34,9,10,15,45,50
14,浦和レッズ,37,34,9,10,15,34,50
15,サガン鳥栖,36,34,10,6,18,32,53
16,湘南ベルマーレ,36,34,10,6,18,40,63
17,松本山雅ＦＣ,31,34,6,13,15,21,40
18,ジュビロ磐田,31,34,8,7,19,29,51